team,team_id,player_id,player_name,position,known_name,first_name,last_name,shirtNumber,played_time,appearances,played_games,starts,sub_on,sub_off,offsides,dribbles_successful,dribbles_unsuccessful,keypasses,assists,assists_intentional,assists_second_goal,through_balls,goals_conceded,goals_conceded_penalty,goals_conceded_outside_box,goals_conceded_inside_box,goals,goals_from_inside_box,goals_from_outside_box,goals_right_foot,goals_left_foot,goals_headed,goals_penalty,penalty_taken,shots_total,shots_on_target_include_goals,shots_off_target_include_woodwork,shots_hit_woodwork,shots_blocked,shots_attempts_from_set_pieces,passes_total,passes_total_exc_crosses_and_corners_succesful,passes_total_exc_crosses_and_corners_unsuccesful,passes_open_play,passes_open_play_successful,passes_backward,passes_forward,passes_leftside,passes_rightside,passes_short_successful,passes_short_unsuccessful,passes_long_successful,passes_long_unsuccessful,passes_own_half_successful,passes_own_half_unsuccessful,passes_opposition_half_successful,passes_opposition_half_unsuccessful,crosses_open_play_successful,crosses_open_play_unsuccessful,crosses_and_corners_unsuccessful,crosses_and_corners_successful,corners_won,corners_taken_include_short_corners,corners_into_box_successful,corners_into_box_unsuccessful,duels_total,duels_won,duels_lost,duels_ground_total,duels_ground_won,duels_ground_lost,duels_aerial_total,duels_aerial_won,duels_aerial_lost,tackles_total,tackles_won,tackles_lost,tackles_last_man,clearances,interceptions,recoveries,blocks
Getafe,1450,171222,Mauro Arambarri,Midfielder,,Mauro,Arambarri,18,3071,35,35,34,1,3,,30,13,15,1,1,,,33,5,2,31,1,1,,,,1,,,33,7,26,,14,5,896,608,288,864,580,99,314,226,257,522,199,86,89,213,54,408,266,9,26,32,13,11,13,1,3,461,236,225,315,163,152,146,73,73,72,33,39,,33,43,201,5
Getafe,1450,20150,Markel Bergara,Midfielder,,Markel,Bergara,5,70,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,9,7,16,9,2,5,5,4,9,6,,1,3,1,6,8,,2,2,,1,,,,5,1,4,2,,2,3,1,2,,,,,2,,2,
Getafe,1450,169586,Erick Cabaco,Defender,,Erick,Cabaco,4,1075,15,15,12,3,3,,4,1,2,,,,,12,1,2,10,,,,,,,,,3,,3,,2,,485,353,132,451,326,15,246,147,77,285,53,68,79,228,43,125,94,,5,5,,3,,,,100,58,42,45,27,18,55,31,24,15,11,4,,60,15,61,8
Getafe,1450,64662,Leandro Cabrera,Defender,,Leandro,Cabrera,6,3060,35,35,35,,2,2,8,,8,1,1,,2,37,3,2,35,2,2,,,,2,,,9,3,6,1,2,,1328,827,501,1250,787,55,740,231,302,640,212,187,289,480,133,349,381,2,13,13,2,7,,,,280,163,117,105,60,45,175,103,72,38,17,21,1,142,41,153,16
Getafe,1450,179268,Marc Cucurella,Defender,,Marc,Cucurella,15,3248,37,37,37,,13,6,23,26,48,5,5,,1,33,4,2,31,1,1,,,1,,,,21,6,15,2,9,2,1128,764,364,1096,732,197,495,89,347,725,261,39,103,188,77,604,386,24,93,99,28,9,16,,1,474,211,263,337,156,181,137,55,82,75,52,23,,22,36,242,8
Getafe,1450,149838,Djené Dakonam,Defender,,Djené,Dakonam,2,3060,34,34,34,,,1,14,4,6,,,,2,34,5,2,32,,,,,,,,,5,1,4,,,,1012,703,309,973,670,84,513,239,176,583,144,120,165,411,124,296,191,4,6,6,4,,,,,294,166,128,142,80,62,152,86,66,41,31,10,1,104,34,228,7
Getafe,1450,439716,Hugo Duro,Forward,,Hugo,Duro,26,374,12,12,4,8,4,1,,,2,1,,,,8,3,1,7,1,1,,,,1,,,5,3,2,,1,,68,40,28,68,40,18,26,4,20,38,26,2,2,13,3,27,29,,4,4,,3,,,,102,36,66,45,21,24,57,15,42,6,5,1,,3,1,12,
Getafe,1450,227560,Oghenekaro Etebo,Midfielder,,Oghenekaro,Etebo,5,574,10,10,6,4,5,,4,2,3,,,,1,6,,,6,1,1,,1,,,,,8,3,5,,1,,200,125,75,198,123,31,90,41,38,113,51,12,24,39,21,87,67,1,13,13,1,3,,,,82,45,37,45,23,22,37,22,15,12,4,8,,3,11,43,1
Getafe,1450,58637,Xabier Etxeita,Defender,,Xabier,Etxeita,16,1446,17,17,16,1,1,,,1,2,,,,,14,4,,14,,,,,,,,,4,2,2,,2,,438,237,201,419,225,17,258,72,91,182,101,55,100,125,76,112,125,,,,,4,,,,147,82,65,57,31,26,90,51,39,20,11,9,,68,17,58,5
Getafe,1450,92724,Faycal Fajr,Midfielder,,Faycal,Fajr,21,402,10,10,5,5,3,,1,,9,,,,,6,,,6,,,,,,,,,7,3,4,1,2,3,158,107,51,141,96,26,72,30,30,78,31,29,20,29,9,86,66,3,9,24,8,2,20,4,12,37,16,21,16,6,10,21,10,11,1,1,,,,4,19,
